"","dcode","dname","month","wasteamt"
"111",1002,"ดุสิต","12-2017",5305.81
"112",1019,"ตลิ่งชัน","12-2017",4386.27
"113",1048,"ทวีวัฒนา","12-2017",2961.29
"114",1049,"ทุ่งครุ","12-2017",4226.75
"115",1015,"ธนบุรี","12-2017",4859.64
"116",1020,"บางกอกน้อย","12-2017",4910.06
"117",1016,"บางกอกใหญ่","12-2017",2249
"118",1006,"บางกะปิ","12-2017",9963.51
"119",1021,"บางขุนเทียน","12-2017",9832.96
"120",1005,"บางเขน","12-2017",8888.39
"121",1031,"บางคอแหลม","12-2017",4056.85
"122",1040,"บางแค","12-2017",8447.18
"123",1029,"บางซื่อ","12-2017",4804.83
"124",1047,"บางนา","12-2017",6678.06
"125",1050,"บางบอน","12-2017",6550.71
"126",1025,"บางพลัด","12-2017",4608.15
"127",1004,"บางรัก","12-2017",4474.39
"128",1027,"บึงกุ่ม","12-2017",5953.66
"129",1007,"ปทุมวัน","12-2017",9341.17
"130",1032,"ประเวศ","12-2017",8229.77
"131",1008,"ป้อมปราบศัตรูพ่าย","12-2017",2587.59
"132",1014,"พญาไท","12-2017",5043.31
"133",1009,"พระโขนง","12-2017",4115.57
"134",1001,"พระนคร","12-2017",5980.5
"135",1022,"ภาษีเจริญ","12-2017",4669.47
"136",1010,"มีนบุรี","12-2017",5447.61
"137",1012,"ยานนาวา","12-2017",5446.97
"138",1037,"ราชเทวี","12-2017",6647.38
"139",1024,"ราษฎร์บูรณะ","12-2017",3533.26
"140",1011,"ลาดกระบัง","12-2017",8289.48
"141",1038,"ลาดพร้าว","12-2017",6449.89
"142",1045,"วังทองหลาง","12-2017",6933.94
"143",1039,"วัฒนา","12-2017",8369.47
"144",1034,"สวนหลวง","12-2017",6648.98
"145",1044,"สะพานสูง","12-2017",3835.02
"146",1013,"สัมพันธวงศ์","12-2017",1777.21
"147",1028,"สาทร","12-2017",5152.63
"148",1042,"สายไหม","12-2017",6752.96
"149",1023,"หนองแขม","12-2017",5058.98
"150",1003,"หนองจอก","12-2017",3841.04
"151",1041,"หลักสี่","12-2017",5349.55
"152",1017,"ห้วยขวาง","12-2017",6580.73
"153",1000,"อื่นๆ","12-2017",16760.77
"154",1033,"คลองเตย","01-2018",8952.41
"155",1018,"คลองสาน","01-2018",3862.31
"156",1046,"คลองสามวา","01-2018",6346.98
"157",1043,"คันนายาว","01-2018",4644.34
"158",1030,"จตุจักร","01-2018",12679.5
"159",1035,"จอมทอง","01-2018",6368.86
"160",1036,"ดอนเมือง","01-2018",6438.03
"161",1026,"ดินแดง","01-2018",8698.82
"162",1002,"ดุสิต","01-2018",5200.54
"163",1019,"ตลิ่งชัน","01-2018",4516.77
"164",1048,"ทวีวัฒนา","01-2018",3151.01
"165",1049,"ทุ่งครุ","01-2018",4299.31
"166",1015,"ธนบุรี","01-2018",5020.51
"167",1020,"บางกอกน้อย","01-2018",5030.12
"168",1016,"บางกอกใหญ่","01-2018",2315.59
"169",1006,"บางกะปิ","01-2018",10236.2
"170",1021,"บางขุนเทียน","01-2018",9962.17
"171",1005,"บางเขน","01-2018",9268.81
"172",1031,"บางคอแหลม","01-2018",4091.96
"173",1040,"บางแค","01-2018",8568.47
"174",1029,"บางซื่อ","01-2018",4988.86
"175",1047,"บางนา","01-2018",6823.32
"176",1050,"บางบอน","01-2018",6727.19
"177",1025,"บางพลัด","01-2018",4739.01
