"","dcode","dname","month","wasteamt"
"549",1038,"ลาดพร้าว","08-2018",7051.5
"550",1045,"วังทองหลาง","08-2018",7374.49
"551",1039,"วัฒนา","08-2018",9531.48
"552",1034,"สวนหลวง","08-2018",7587.66
"553",1044,"สะพานสูง","08-2018",4142.35
"554",1013,"สัมพันธวงศ์","08-2018",1745.57
"555",1028,"สาทร","08-2018",5219.52
"556",1042,"สายไหม","08-2018",7730.67
"557",1023,"หนองแขม","08-2018",5631.77
"558",1003,"หนองจอก","08-2018",4535.39
"559",1041,"หลักสี่","08-2018",5755.89
"560",1017,"ห้วยขวาง","08-2018",7256.16
"561",1000,"อื่นๆ","08-2018",18919.44
"562",1033,"คลองเตย","09-2018",9213.72
"563",1018,"คลองสาน","09-2018",3534.99
"564",1046,"คลองสามวา","09-2018",5570.11
"565",1043,"คันนายาว","09-2018",4657.03
"566",1030,"จตุจักร","09-2018",13194.2
"567",1035,"จอมทอง","09-2018",6077.26
"568",1036,"ดอนเมือง","09-2018",6458.73
"569",1026,"ดินแดง","09-2018",8830.82
"570",1002,"ดุสิต","09-2018",4875.39
"571",1019,"ตลิ่งชัน","09-2018",4212.41
"572",1048,"ทวีวัฒนา","09-2018",3447.39
"573",1049,"ทุ่งครุ","09-2018",3908.85
"574",1015,"ธนบุรี","09-2018",4626.99
"575",1020,"บางกอกน้อย","09-2018",5067.47
"576",1016,"บางกอกใหญ่","09-2018",2426.53
"577",1006,"บางกะปิ","09-2018",10417.2
"578",1021,"บางขุนเทียน","09-2018",9730.34
"579",1005,"บางเขน","09-2018",9348.17
"580",1031,"บางคอแหลม","09-2018",3928
"581",1040,"บางแค","09-2018",8220.52
"582",1029,"บางซื่อ","09-2018",4859.69
"583",1047,"บางนา","09-2018",6460.68
"584",1050,"บางบอน","09-2018",6412.67
"585",1025,"บางพลัด","09-2018",4489.09
"586",1004,"บางรัก","09-2018",4778.97
"587",1027,"บึงกุ่ม","09-2018",6225.61
"588",1007,"ปทุมวัน","09-2018",9183.87
"589",1032,"ประเวศ","09-2018",9033.04
"590",1008,"ป้อมปราบศัตรูพ่าย","09-2018",2311.92
"591",1014,"พญาไท","09-2018",5548.08
"592",1009,"พระโขนง","09-2018",4432.04
"593",1001,"พระนคร","09-2018",5529.36
"594",1022,"ภาษีเจริญ","09-2018",4886.23
"595",1010,"มีนบุรี","09-2018",5853.88
"596",1012,"ยานนาวา","09-2018",5344.14
"597",1037,"ราชเทวี","09-2018",6667.39
"598",1024,"ราษฎร์บูรณะ","09-2018",3344.35
"599",1011,"ลาดกระบัง","09-2018",9053.66
"600",1038,"ลาดพร้าว","09-2018",6918.61
"601",1045,"วังทองหลาง","09-2018",7150.08
"602",1039,"วัฒนา","09-2018",9005.46
"603",1034,"สวนหลวง","09-2018",7040.22
"604",1044,"สะพานสูง","09-2018",3860
"605",1013,"สัมพันธวงศ์","09-2018",1503.75
"606",1028,"สาทร","09-2018",4719.6
"607",1042,"สายไหม","09-2018",7229.36
"608",1023,"หนองแขม","09-2018",5362.1
"609",1003,"หนองจอก","09-2018",4216.86
"610",1041,"หลักสี่","09-2018",5485.5
"611",1017,"ห้วยขวาง","09-2018",7050.1
"612",1000,"อื่นๆ","09-2018",18327.36
